State,Company,City,Number of Workers,Received Date,Effective Date,Layoff/Closure,Temporary/Permanent,Union,Region,County,Industry,Notes
California,"Avcorp Composite Fabrication, Inc.",1600 W. 135th Street Gardena CA 90249,47,12/21/2022,03/31/2023,Closure Permanent,,,,Los Angeles County,,
California,Los Angeles Laundry Inc.,6032 Shull Street Bell Gardens CA 90201,108,12/20/2022,12/16/2022,Closure Permanent,,,,Los Angeles County,,
California,Phillips 66,2555 Willow Road Arroyo Grande CA 93420,45,12/20/2022,02/28/2023,Closure Permanent,,,,San Luis Obispo County,,
California,Get Heal Inc. and Heal Doctors P.C.,"4553 Glencoe Ave, Suite 320 Marina Del Rey CA 90292",182,12/19/2022,02/14/2023,Closure Permanent,,,,Los Angeles County,,
California,COVID Clinic,"8941 Atlanta Ave, Suite 402 Huntington Beach CA 92646",12,12/19/2022,01/20/2023,Layoff Permanent,,,,Orange County,,
California,"Aerotek, Inc.",9440 Carroll Park Drive San Diego CA 92121,141,12/19/2022,11/15/2022,Layoff Permanent,,,,San Diego County,,
California,Rume Heath LLC,18800 Delaware Street Suite 800 Huntington Beach CA 92648,110,12/16/2022,01/20/2023,Layoff Permanent,,,,Orange County,,
California,Yinlun TDI LLC.,4850 E Airport Dr. Ontario CA 91761,34,12/16/2022,02/24/2023,Layoff Permanent,,,,San Bernardino County,,
California,Qualcomm,5775 Morehouse Drive San Diego CA 92121,153,12/16/2022,02/07/2023,Layoff Permanent,,,,San Diego County,,
California,Pennymac,251 S. Lake Avenue Pasadena CA 91101,8,12/15/2022,01/17/2023,Layoff Permanent,,,,Los Angeles County,,
California,Pennymac,3013 Douglas Blvd. Roseville CA 95661,3,12/15/2022,01/17/2023,Layoff Permanent,,,,Placer County,,
California,Pennymac,29903 Agoura Road Agoura Hills CA 91301,19,12/15/2022,01/17/2023,Layoff Permanent,,,,Los Angeles County,,
California,Pennymac,3043 Townsgate Rd Westlake Village CA 91361,1,12/15/2022,01/17/2023,Layoff Permanent,,,,Ventura County,,
California,Aimmune Therapeutics Inc.,8000 Marina Blvd. Brisbane CA 94005,75,12/15/2022,02/10/2023,Layoff Permanent,,,,San Mateo County,,
California,"OFS Brands, Inc. and Styline Logistics, Inc.",5559 McFadden Avenue Plant 40 Huntington Beach CA 92649,60,12/15/2022,03/03/2023,Closure Permanent,,,,Orange County,,
California,Quest HealthConnect,1231 E. Dyer Rd Suite 200 Santa Ana CA 92705,7,12/15/2022,03/31/2023,Layoff Permanent,,,,Orange County,,
California,Pennymac,112 Lakeview Canyon Road Thousand Oaks CA 91362,1,12/15/2022,01/17/2023,Layoff Permanent,,,,Ventura County,,
California,Pennymac,112 Lakeview Canyon Road Thousand Oaks CA 91362,1,12/15/2022,02/21/2023,Layoff Permanent,,,,Ventura County,,
California,Pennymac,6101 Condor Drive Moorpark CA 93021,2,12/15/2022,01/17/2023,Layoff Permanent,,,,Ventura County,,
California,DHL Supply Chain,1201 Voyager Street Livermore CA 94551,350,12/14/2022,02/12/2023,Layoff Permanent,,,,Alameda County,,
California,DHL Supply Chain,"7364 Marathon Drive, Suite B Livermore CA 94550",44,12/14/2022,02/12/2023,Layoff Permanent,,,,Alameda County,,
California,"Borrego Energy, LLC","1814 Franklin St., Suite 700 Oakland CA 94612",7,12/14/2022,12/09/2022,Layoff Permanent,,,,Alameda County,,
California,"Borrego Energy, LLC","1814 Franklin St., Suite 700 Oakland CA 94612",1,12/14/2022,12/23/2022,Layoff Permanent,,,,Alameda County,,
California,"Borrego Energy, LLC","1814 Franklin St., Suite 700 Oakland CA 94612",1,12/14/2022,02/03/2023,Layoff Permanent,,,,Alameda County,,
California,"Borrego Energy, LLC","1814 Franklin St., Suite 700 Oakland CA 94612",3,12/14/2022,03/31/2023,Layoff Permanent,,,,Alameda County,,
