State,Company,City,Number of Workers,WARN Received Date,Effective Date,Closure/Layoff,Temporary/Permanent,Union,Region,County,Industry,Notes
Texas,Vesuvius USA-Tyler,Tyler,9,10/21/2019,12/31/2019,,,,East Texas WDA,Smith,,
Texas,"Arconic, Inc.",Elmendorf,67,10/18/2019,12/20/2019,,,,Alamo WDA,Bexar,,
Texas,"Ultrafryer Systems, LLC",San Antonio,70,10/17/2019,12/28/2019,,,,Alamo WDA,Bexar,,
Texas,"Arconic, Inc.",Elmendorf,67,10/17/2019,12/20/2019,,,,Alamo WDA,Bexar,,
Texas,HRP Brownsville LLC dba Steel Coast,Brownsville,100,10/15/2019,12/15/2019,,,,Cameron County WDA,Cameron,,
Texas,Hotel Valencia Corp.-Hotel Sorella,Houston,121,10/11/2019,12/11/2019,,,,Gulf Coast WDA,Harris,,
Texas,Letter Ride-Howard Ln.,Austin,91,10/4/2019,12/7/2019,,,,Capital Area WDA,Travis,,
Texas,Letter Ride-W. Fuqua,Houston,87,10/4/2019,12/7/2019,,,,Gulf Coast WDA,Harris,,
Texas,Letter Ride-N. Stemmons,Farmers Branch,64,10/4/2019,12/4/2019,,,,Dallas County WDA,Dallas,,
Texas,Letter Ride-Gold Spike Dr.,Ft. Worth,71,10/4/2019,12/7/2019,,,,Tarrant County WDA,Tarrant,,
Texas,Letter Ride-Evergreen Oak,Conroe,12,10/4/2019,12/7/2019,,,,Gulf Coast WDA,Montgomery,,
Texas,Letter Ride-North Gessner,Houston,98,10/4/2019,12/7/2019,,,,Gulf Coast WDA,Harris,,
Texas,Nix Specialty Health-Behavioral Facility,San Antonio,156,10/4/2019,12/2/2019,,,,Alamo WDA,Bexar,,
Texas,Inpax Final Mile Delivery-Farmers Branch,Farmers Branch,109,10/1/2019,10/2/2019,,,,Dallas County WDA,Dallas,,
Texas,Inpax Final Mile Delivery-Garland,Garland,119,10/1/2019,10/2/2019,,,,Dallas County WDA,Dallas,,
Texas,Walmart #3506,Cypress,80,9/30/2019,12/6/2019,,,,Gulf Coast WDA,Harris,,
Texas,Dry Van Business dba Rich Logistics-Dallas,Dallas,98,9/27/2019,11/29/2019,,,,Dallas County WDA,Dallas,,
Texas,Dry Van Business dba Rich Logistics-Laredo,Laredo,111,9/27/2019,11/29/2019,,,,South Texas WDA,Webb,,
Texas,Stevens Tanker Division,Dallas,71,9/26/2019,10/15/2019,,,,Dallas County WDA,Dallas,,
Texas,Nobilis Health Corp.-Sugarland,Sugar Land,36,9/26/2019,9/13/2019,,,,Gulf Coast WDA,Fort Bend,,
Texas,Finisar Corporation,Allen,104,9/26/2019,11/1/2019,,,,North Central Texas WDA,Collin,,
Texas,New LifeCare Management Services dba LifeCare Health Partners,Plano,33,9/25/2019,11/29/2019,,,,North Central Texas WDA,Collin,,
Texas,Nobilis Health Corp.,Houston,9,9/20/2019,9/13/2019,,,,Gulf Coast WDA,Harris,,
Texas,Nestle USA-Supply Chain Frozen DSD,Houston,51,9/16/2019,11/15/2019,,,,Gulf Coast WDA,Harris,,
Texas,State Street Financial Services-Alterra Pkwy,Austin,51,9/12/2019,11/13/2019,,,,Capital Area WDA,Travis,,
Texas,"State Street Financial Services, Inc",Austin,9,9/12/2019,11/13/2019,,,,Capital Area WDA,Travis,,
Texas,Concentrix CVG CORP,Longview,177,9/10/2019,11/15/2019,,,,East Texas WDA,Gregg,,
Texas,"O-I (Owens-Illinois, Inc./Owens-Brockway Glass Container, Inc.)",Waco,81,9/5/2019,11/7/2019,,,,Heart of Texas WDA,McLennan,,
Texas,El Rio Grande Facility,Garland,116,9/3/2019,9/30/2019,,,,Dallas County WDA,Dallas,,
Texas,New LifeCare Management Services dba LifeCare Health Partners,Plano,13,8/30/2019,8/30/2019,,,,North Central Texas WDA,Collin,,
Texas,AECON-Flint Energy Services-Pecos,Pecos,50,8/27/2019,10/28/2019,,,,Permian Basin WDA,Reeves,,
Texas,AECOM-Flint Energy Services-Odessa,Odessa,77,8/27/2019,10/28/2019,,,,Permian Basin WDA,Ector,,
Texas,Nix Home Care Facility,San Antonio,585,8/23/2019,10/21/2019,,,,Alamo WDA,Bexar,,
