,food bank,isPartial,region,metroCode
2020-10-25,39.0,False,US-AZ,753
2020-11-01,30.0,False,US-AZ,753
2020-11-08,31.0,False,US-AZ,753
2020-11-15,38.0,False,US-AZ,753
2020-11-22,100.0,False,US-AZ,753
2020-11-29,35.0,False,US-AZ,753
2020-12-06,40.0,False,US-AZ,753
2020-12-13,42.0,False,US-AZ,753
2020-12-20,25.0,False,US-AZ,753
2020-12-27,69.0,False,US-AZ,753
2020-01-05,9.0,False,US-AZ,789
2020-01-12,26.0,False,US-AZ,789
2020-01-19,44.0,False,US-AZ,789
2020-01-26,18.0,False,US-AZ,789
2020-02-02,34.0,False,US-AZ,789
2020-02-09,17.0,False,US-AZ,789
2020-02-16,17.0,False,US-AZ,789
2020-02-23,17.0,False,US-AZ,789
2020-03-01,8.0,False,US-AZ,789
2020-03-08,42.0,False,US-AZ,789
2020-03-15,100.0,False,US-AZ,789
2020-03-22,79.0,False,US-AZ,789
2020-03-29,74.0,False,US-AZ,789
2020-04-05,77.0,False,US-AZ,789
2020-04-12,69.0,False,US-AZ,789
2020-04-19,60.0,False,US-AZ,789
2020-04-26,31.0,False,US-AZ,789
2020-05-03,30.0,False,US-AZ,789
2020-05-10,46.0,False,US-AZ,789
2020-05-17,24.0,False,US-AZ,789
2020-05-24,33.0,False,US-AZ,789
2020-05-31,48.0,False,US-AZ,789
2020-06-07,32.0,False,US-AZ,789
2020-06-14,16.0,False,US-AZ,789
2020-06-21,34.0,False,US-AZ,789
2020-06-28,9.0,False,US-AZ,789
2020-07-05,35.0,False,US-AZ,789
2020-07-12,18.0,False,US-AZ,789
2020-07-19,9.0,False,US-AZ,789
2020-07-26,36.0,False,US-AZ,789
2020-08-02,44.0,False,US-AZ,789
2020-08-09,17.0,False,US-AZ,789
2020-08-16,16.0,False,US-AZ,789
2020-08-23,16.0,False,US-AZ,789
2020-08-30,24.0,False,US-AZ,789
2020-09-06,8.0,False,US-AZ,789
2020-09-13,33.0,False,US-AZ,789
2020-09-20,25.0,False,US-AZ,789
2020-09-27,9.0,False,US-AZ,789
2020-10-04,37.0,False,US-AZ,789
2020-10-11,10.0,False,US-AZ,789
2020-10-18,10.0,False,US-AZ,789
2020-10-25,40.0,False,US-AZ,789
2020-11-01,30.0,False,US-AZ,789
2020-11-08,38.0,False,US-AZ,789
2020-11-15,65.0,False,US-AZ,789
2020-11-22,99.0,False,US-AZ,789
2020-11-29,59.0,False,US-AZ,789
2020-12-06,67.0,False,US-AZ,789
2020-12-13,52.0,False,US-AZ,789
2020-12-20,39.0,False,US-AZ,789
2020-12-27,48.0,False,US-AZ,789
2020-01-05,0.0,False,US-AZ,771
2020-01-12,0.0,False,US-AZ,771
2020-01-19,0.0,False,US-AZ,771
2020-01-26,0.0,False,US-AZ,771
2020-02-02,0.0,False,US-AZ,771
2020-02-09,0.0,False,US-AZ,771
2020-02-16,0.0,False,US-AZ,771
2020-02-23,30.0,False,US-AZ,771
2020-03-01,29.0,False,US-AZ,771
2020-03-08,28.0,False,US-AZ,771
2020-03-15,28.0,False,US-AZ,771
2020-03-22,28.0,False,US-AZ,771
2020-03-29,55.0,False,US-AZ,771
2020-04-05,56.0,False,US-AZ,771
2020-04-12,27.0,False,US-AZ,771
2020-04-19,26.0,False,US-AZ,771
2020-04-26,27.0,False,US-AZ,771
2020-05-03,55.0,False,US-AZ,771
2020-05-10,0.0,False,US-AZ,771
2020-05-17,56.0,False,US-AZ,771
2020-05-24,0.0,False,US-AZ,771
2020-05-31,58.0,False,US-AZ,771
2020-06-07,60.0,False,US-AZ,771
2020-06-14,31.0,False,US-AZ,771
2020-06-21,31.0,False,US-AZ,771
2020-06-28,32.0,False,US-AZ,771
2020-07-05,0.0,False,US-AZ,771
2020-07-12,0.0,False,US-AZ,771
2020-07-19,0.0,False,US-AZ,771
2020-07-26,0.0,False,US-AZ,771
2020-08-02,65.0,False,US-AZ,771
2020-08-09,0.0,False,US-AZ,771
2020-08-16,0.0,False,US-AZ,771
2020-08-23,0.0,False,US-AZ,771
2020-08-30,58.0,False,US-AZ,771
2020-09-06,31.0,False,US-AZ,771
2020-09-13,0.0,False,US-AZ,771
2020-09-20,31.0,False,US-AZ,771
2020-09-27,0.0,False,US-AZ,771
2020-10-04,100.0,False,US-AZ,771
2020-10-11,36.0,False,US-AZ,771
2020-10-18,36.0,False,US-AZ,771
2020-10-25,73.0,False,US-AZ,771
2020-11-01,28.0,False,US-AZ,771
2020-11-08,0.0,False,US-AZ,771
2020-11-15,0.0,False,US-AZ,771
2020-11-22,0.0,False,US-AZ,771
2020-11-29,0.0,False,US-AZ,771
2020-12-06,69.0,False,US-AZ,771
2020-12-13,36.0,False,US-AZ,771
2020-12-20,0.0,False,US-AZ,771
2020-12-27,0.0,False,US-AZ,771
2020-01-05,46.0,False,US-AR,670
2020-01-12,0.0,False,US-AR,670
2020-01-19,0.0,False,US-AR,670
2020-01-26,0.0,False,US-AR,670
2020-02-02,86.0,False,US-AR,670
2020-02-09,22.0,False,US-AR,670
2020-02-16,21.0,False,US-AR,670
2020-02-23,0.0,False,US-AR,670
2020-03-01,21.0,False,US-AR,670
2020-03-08,40.0,False,US-AR,670
2020-03-15,100.0,False,US-AR,670
2020-03-22,21.0,False,US-AR,670
2020-03-29,20.0,False,US-AR,670
2020-04-05,78.0,False,US-AR,670
2020-04-12,19.0,False,US-AR,670
2020-04-19,19.0,False,US-AR,670
2020-04-26,39.0,False,US-AR,670
2020-05-03,0.0,False,US-AR,670
2020-05-10,20.0,False,US-AR,670
2020-05-17,0.0,False,US-AR,670
2020-05-24,21.0,False,US-AR,670
2020-05-31,21.0,False,US-AR,670
2020-06-07,43.0,False,US-AR,670
2020-06-14,22.0,False,US-AR,670
2020-06-21,0.0,False,US-AR,670
2020-06-28,0.0,False,US-AR,670
2020-07-05,0.0,False,US-AR,670
2020-07-12,47.0,False,US-AR,670
2020-07-19,24.0,False,US-AR,670
2020-07-26,0.0,False,US-AR,670
2020-08-02,0.0,False,US-AR,670
2020-08-09,23.0,False,US-AR,670
2020-08-16,46.0,False,US-AR,670
2020-08-23,41.0,False,US-AR,670
2020-08-30,0.0,False,US-AR,670
2020-09-06,0.0,False,US-AR,670
2020-09-13,20.0,False,US-AR,670
2020-09-20,42.0,False,US-AR,670
2020-09-27,0.0,False,US-AR,670
2020-10-04,23.0,False,US-AR,670
2020-10-11,26.0,False,US-AR,670
2020-10-18,0.0,False,US-AR,670
2020-10-25,26.0,False,US-AR,670
2020-11-01,20.0,False,US-AR,670
2020-11-08,48.0,False,US-AR,670
2020-11-15,25.0,False,US-AR,670
2020-11-22,0.0,False,US-AR,670
2020-11-29,24.0,False,US-AR,670
2020-12-06,24.0,False,US-AR,670
2020-12-13,25.0,False,US-AR,670
2020-12-20,84.0,False,US-AR,670
2020-12-27,26.0,False,US-AR,670
2020-01-05,0.0,False,US-AR,734
2020-01-12,35.0,False,US-AR,734
2020-01-19,37.0,False,US-AR,734
2020-01-26,36.0,False,US-AR,734
2020-02-02,0.0,False,US-AR,734
2020-02-09,36.0,False,US-AR,734
2020-02-16,35.0,False,US-AR,734
2020-02-23,33.0,False,US-AR,734
2020-03-01,0.0,False,US-AR,734
2020-03-08,0.0,False,US-AR,734
2020-03-15,0.0,False,US-AR,734
2020-03-22,0.0,False,US-AR,734
